"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Hummingbird","Functional","","1113","0","839","0","0"
"Techno","Functional","","362","0","384","0","0"
"Pegasus","Functional","","333","0","25","0","0"
"Dolphin","Functional","","22","11","44","0","0"
"Dolphin","Technical","","22","14","45","0","0"
"CRM","Technical","","230","0","8","0","0"
"CRM","Functional","","170","0","14","0","0"
"Dragon","Functional","","16","0","48","0","0"
"Arise","Functional","","1","0","4","0","0"
"Arise","Technical","","1","0","4","0","0"
"Dragon","Technical","","22","0","5","0","0"
"Dolphin","","","0","3","0","0","0"
"Hummingbird","Technical","","8","0","0","0","0"
"Bamboo","Functional","","1","2","2","0","0"
"Bamboo","Technical","","1","2","2","0","0"
